Year,Month,España,Francia,Inglaterra,Italia
2013,enero,N/A,N/A,N/A,N/A
2013,febrero,-20.3%,-26.7%,0.2%,11.1%
2013,marzo,-29.8%,26.7%,-24%,-24.1%
2013,abril,42.3%,-20.7%,-0.3%,82.9%
2013,mayo,63%,11.7%,42.6%,-44.3%
2013,junio,-18.3%,-14%,5.8%,-8.6%
2013,julio,-11.9%,59.2%,-18.9%,10.8%
2013,agosto,4.6%,-43%,-25.9%,59.6%
2013,septiembre,-14%,24.2%,27.6%,-35.2%
2013,octubre,36.9%,12.6%,-21%,-28%
2013,noviembre,-21.3%,-13.7%,99.9%,-5.8%
2013,diciembre,-10.7%,23%,-18.6%,40.9%
2014,enero,31.2%,-7.3%,-13.8%,19.2%
2014,febrero,-21%,-15.1%,-29.6%,12%
2014,marzo,2.3%,-19.4%,79.6%,3.3%
2014,abril,-20.5%,38%,-17.6%,-21.7%
2014,mayo,64.2%,14.9%,-37.5%,-2.2%
2014,junio,-0.8%,-31.9%,67.8%,-0.6%
2014,julio,-13.4%,30.2%,-26.9%,20.5%
2014,agosto,-13%,-8.2%,-21.3%,18.5%
2014,septiembre,40.6%,-11%,143.9%,-30.1%
2014,octubre,-28.9%,30.4%,-36.9%,37.2%
2014,noviembre,46.6%,-19%,-6.2%,-23.4%
2014,diciembre,3.6%,1.7%,11.9%,34%
2015,enero,-62%,11%,8.9%,-18.5%
2015,febrero,70.5%,-16.4%,-20.3%,-43.6%
2015,marzo,35.3%,4%,25.7%,65.8%
2015,abril,-19.9%,31.7%,-32.9%,29.3%
2015,mayo,7.1%,3.1%,-14.2%,13%
2015,junio,-23.1%,1.1%,29.4%,13.2%
2015,julio,-8%,29.2%,86.1%,-24.2%
2015,agosto,59.3%,-27.8%,-31%,-1.1%
2015,septiembre,-16.6%,-3.7%,-2.7%,-8.7%
2015,octubre,-19.2%,-6.7%,1.6%,1.3%
2015,noviembre,17.3%,-14.8%,-5.1%,-3.6%
2015,diciembre,12.6%,18.9%,1.7%,-26.5%
