Year,Month,España,Francia,Inglaterra,Italia
2013,enero,23%,45%,13.6%,18.4%
2013,febrero,21.5%,38.6%,15.9%,23.9%
2013,marzo,16%,51.9%,12.8%,19.3%
2013,abril,20.3%,36.7%,11.4%,31.5%
2013,mayo,30.7%,38%,15.1%,16.2%
2013,junio,28.3%,36.9%,18%,16.8%
2013,julio,21.3%,50.3%,12.5%,15.9%
2013,agosto,26.1%,33.5%,10.8%,29.6%
2013,septiembre,23.1%,42.9%,14.2%,19.8%
2013,octubre,30%,45.8%,10.7%,13.5%
2013,noviembre,24.3%,40.6%,22%,13.1%
2013,diciembre,20.1%,46.2%,16.6%,17.1%
2014,enero,25.4%,41.3%,13.7%,19.6%
2014,febrero,23.1%,40.4%,11.2%,25.3%
2014,marzo,23.1%,31.8%,19.6%,25.5%
2014,abril,18.7%,44.6%,16.4%,20.3%
2014,mayo,27.4%,45.7%,9.1%,17.7%
2014,junio,29.7%,34.1%,16.8%,19.3%
2014,julio,24.3%,42%,11.6%,22%
2014,agosto,22.3%,40.6%,9.6%,27.5%
2014,septiembre,28.5%,32.8%,21.3%,17.4%
2014,octubre,20.2%,42.6%,13.4%,23.8%
2014,noviembre,31.1%,36.4%,13.3%,19.2%
2014,diciembre,29.4%,33.7%,13.5%,23.4%
2015,enero,13.5%,45.4%,17.8%,23.2%
2015,febrero,26.1%,43%,16.1%,14.8%
2015,marzo,28.3%,35.8%,16.2%,19.7%
2015,abril,21.4%,44.4%,10.2%,23.9%
2015,mayo,21.9%,43.8%,8.4%,25.9%
2015,junio,16.6%,43.7%,10.7%,28.9%
2015,julio,13.4%,49.7%,17.6%,19.3%
2015,agosto,24.2%,40.6%,13.7%,21.6%
2015,septiembre,21.9%,42.4%,14.4%,21.3%
2015,octubre,18.9%,42.3%,15.7%,23.1%
2015,noviembre,23.2%,37.8%,15.6%,23.4%
2015,diciembre,25.1%,43.2%,15.3%,16.5%
