Date,Country,Sales,Customers
2013-01-01,Francia,2946.48,187
2013-01-01,Inglaterra,141.92,7
2013-01-01,Francia,3113.06,141
2013-01-01,Francia,1429.22,150
2013-01-01,España,1232.64,69
2013-01-01,Francia,4884.42,197
2013-01-01,España,4180.96,245
2013-01-01,Francia,774.87,52
2013-01-02,Francia,4699.07,290
2013-01-02,Francia,3431.11,321
2013-01-02,Italia,1980.49,145
2013-01-02,Francia,2890.61,132
2013-01-02,Francia,4595.87,484
2013-01-03,España,1542.31,79
2013-01-03,España,1164.06,52
2013-01-03,España,2927.68,216
2013-01-03,Inglaterra,2262.66,248
2013-01-03,España,4114.23,247
2013-01-04,España,747.84,82
2013-01-04,Inglaterra,910.46,62
2013-01-04,Inglaterra,3875.4,208
2013-01-05,Francia,2218.13,99
2013-01-05,España,3056.13,196
2013-01-05,Francia,1651.91,107
2013-01-05,Francia,2376.67,124
2013-01-06,Italia,3445.9,360
2013-01-06,España,1345.84,143
2013-01-06,España,2903.29,326
2013-01-06,Francia,4846.45,471
2013-01-07,Inglaterra,2295.83,102
2013-01-07,Francia,4050.43,207
2013-01-07,Inglaterra,4467.02,244
2013-01-07,España,4931.27,498
2013-01-07,Francia,2987.14,195
2013-01-08,Inglaterra,592.16,65
2013-01-08,Francia,4275.48,240
2013-01-08,Inglaterra,1419.43,70
2013-01-08,España,1801.12,73
2013-01-08,España,1708.53,176
2013-01-09,España,1511.93,64
2013-01-09,Francia,1560.9,67
2013-01-09,España,1721.35,195
2013-01-10,Francia,1344.03,83
2013-01-10,España,946.02,59
2013-01-10,Francia,2209.07,91
2013-01-10,España,2303.66,93
2013-01-10,Francia,3721.71,263
2013-01-11,España,2117.73,208
2013-01-11,España,4734.12,299
2013-01-11,Italia,3769.7,200
2013-01-11,Italia,3683.59,230
2013-01-11,Italia,2108.21,88
2013-01-12,Francia,4663.66,293
2013-01-12,Italia,4459.7,222
2013-01-12,Francia,4344.54,287
2013-01-12,Francia,2569.97,104
2013-01-12,Italia,3157.33,135
2013-01-12,España,791.19,34
2013-01-12,Inglaterra,3475.45,354
2013-01-12,Francia,2052.86,256
2013-01-12,Francia,3969.59,282
2013-01-13,Francia,2319.69,111
2013-01-13,Francia,2396.79,127
2013-01-13,Francia,1741.74,122
2013-01-13,Francia,655.65,29
2013-01-13,Francia,2497.43,119
2013-01-14,Inglaterra,4285.91,186
2013-01-14,Francia,3372.88,168
2013-01-14,Italia,1338.99,86
2013-01-14,Francia,1034.88,114
2013-01-15,Italia,1832.83,162
2013-01-15,España,2430.95,147
2013-01-15,Inglaterra,4091.09,263
2013-01-15,España,3816.39,225
2013-01-15,Inglaterra,3187.03,140
2013-01-16,Italia,629.92,35
2013-01-16,Italia,3395.98,139
2013-01-17,Italia,2460.33,177
2013-01-17,Inglaterra,4433.91,291
2013-01-17,Francia,2837.54,160
2013-01-17,España,4111.82,279
2013-01-17,Francia,4744.79,336
2013-01-17,Francia,3038.46,161
2013-01-17,Italia,3336.61,182
2013-01-18,Francia,4646.27,188
2013-01-18,España,116.6,7
2013-01-19,Francia,340.36,14
2013-01-19,Italia,3113.18,174
2013-01-19,Inglaterra,3076.05,182
2013-01-19,Francia,3881.17,219
2013-01-19,Francia,629.99,34
2013-01-19,España,1174.9,52
2013-01-19,España,3196.76,218
2013-01-19,España,3178.85,216
2013-01-19,Francia,2595.3,157
2013-01-19,Inglaterra,2038.67,119
2013-01-20,España,4486.02,190
2013-01-20,Italia,1262.03,59
2013-01-21,España,3606.81,222
2013-01-21,Italia,2666.1,125
2013-01-21,Italia,1034.67,45
2013-01-21,Italia,4711.59,225
2013-01-21,Francia,2757.56,178
2013-01-21,Italia,1441.97,177
2013-01-21,Inglaterra,620.9,45
2013-01-21,Francia,3307.65,178
2013-01-21,Francia,1095.45,46
2013-01-22,Francia,837.2,65
2013-01-22,Inglaterra,117.17,10
2013-01-22,España,4931.54,434
2013-01-22,Francia,2049.61,83
2013-01-22,Inglaterra,3880.28,160
2013-01-22,Italia,4935.37,439
2013-01-22,España,1274.09,90
2013-01-22,Italia,3181.42,156
2013-01-23,España,832.22,35
2013-01-23,Inglaterra,921.35,88
2013-01-23,Francia,2695.9,273
2013-01-23,Inglaterra,498.81,25
2013-01-23,Francia,3501.95,387
2013-01-24,Francia,250.85,24
2013-01-25,Francia,4707.15,254
2013-01-25,Italia,4217.65,209
2013-01-25,España,1787.7,214
2013-01-25,Francia,2275.33,130
2013-01-25,Italia,1297.82,55
2013-01-25,Francia,427.31,25
2013-01-26,Francia,694.39,71
2013-01-26,Francia,4960.44,508
2013-01-26,Francia,292.29,37
2013-01-27,Italia,1378.09,60
2013-01-27,Francia,3777.57,302
2013-01-27,Francia,3056.3,221
2013-01-27,Francia,538.44,47
2013-01-28,Francia,4145.79,200
2013-01-28,Italia,2871.27,216
2013-01-28,Italia,506.34,21
2013-01-28,Francia,4584.36,274
2013-01-28,Francia,2281.94,97
2013-01-29,Francia,128.44,7
2013-01-29,España,2853.3,121
2013-01-29,Inglaterra,2680.55,139
2013-01-29,Francia,112.03,10
2013-01-29,España,3871.04,427
2013-01-29,España,1476.33,87
2013-01-29,Inglaterra,3663.73,224
2013-01-29,Francia,919.26,44
2013-01-30,España,801.67,92
2013-01-30,Italia,1034.51,47
2013-01-30,Francia,4863.57,418
2013-01-31,Italia,2525.27,147
2013-01-31,Francia,4167.68,231
2013-01-31,Francia,2701.92,221
2013-02-01,Italia,2405.47,184
2013-02-01,Francia,3424.47,319
2013-02-01,España,2062.92,135
2013-02-02,Italia,4935.83,418
2013-02-02,Francia,4121.31,496
2013-02-03,Inglaterra,1195.12,100
2013-02-03,Francia,2031.87,128
2013-02-03,Italia,1122.84,88
2013-02-03,Italia,2833.05,213
2013-02-04,España,3618.23,190
2013-02-04,Francia,170.91,18
2013-02-04,Francia,3920.21,296
2013-02-04,España,4979.7,208
2013-02-04,España,4658.72,229
2013-02-05,Francia,1551.65,106
2013-02-05,España,4656.93,221
2013-02-05,España,4105.91,212
2013-02-05,España,3265.45,268
2013-02-05,Francia,4925.87,205
2013-02-06,España,4998.4,237
2013-02-06,España,2812.3,182
2013-02-06,Inglaterra,4748.42,404
2013-02-07,Francia,4966.54,232
2013-02-07,Francia,3432.78,199
2013-02-07,Francia,4167.87,363
2013-02-08,Francia,4629.15,539
2013-02-08,Francia,2789.8,142
2013-02-08,Italia,758.71,49
2013-02-08,Francia,3316.42,232
2013-02-08,Francia,1043.4,123
2013-02-08,Francia,2755.21,228
2013-02-09,España,1538.05,97
2013-02-09,Francia,3342.21,265
2013-02-09,Inglaterra,2665.99,125
2013-02-09,España,2126.86,91
2013-02-09,Francia,4898.32,243
2013-02-09,Inglaterra,4019.74,174
2013-02-10,Italia,2598.38,276
2013-02-10,Inglaterra,4133.13,220
2013-02-10,Italia,3675.53,335
2013-02-10,Francia,4007.7,228
2013-02-10,España,3383.91,187
2013-02-10,Francia,2189.57,139
