Date,Country,Sales
2013-01-01,Francia,2946.48
2013-01-01,Inglaterra,141.92
2013-01-01,Francia,3113.06
2013-01-01,Francia,1429.22
2013-01-01,España,1232.64
2013-01-01,Francia,4884.42
2013-01-01,España,4180.96
2013-01-01,Francia,774.87
2013-01-02,Francia,4699.07
2013-01-02,Francia,3431.11
2013-01-02,Italia,1980.49
2013-01-02,Francia,2890.61
2013-01-02,Francia,4595.87
2013-01-03,España,1542.31
2013-01-03,España,1164.06
2013-01-03,España,2927.68
2013-01-03,Inglaterra,2262.66
2013-01-03,España,4114.23
2013-01-04,España,747.84
2013-01-04,Inglaterra,910.46
2013-01-04,Inglaterra,3875.4
2013-01-05,Francia,2218.13
2013-01-05,España,3056.13
2013-01-05,Francia,1651.91
2013-01-05,Francia,2376.67
2013-01-06,Italia,3445.9
2013-01-06,España,1345.84
2013-01-06,España,2903.29
2013-01-06,Francia,4846.45
2013-01-07,Inglaterra,2295.83
2013-01-07,Francia,4050.43
2013-01-07,Inglaterra,4467.02
2013-01-07,España,4931.27
2013-01-07,Francia,2987.14
2013-01-08,Inglaterra,592.16
2013-01-08,Francia,4275.48
2013-01-08,Inglaterra,1419.43
2013-01-08,España,1801.12
2013-01-08,España,1708.53
2013-01-09,España,1511.93
2013-01-09,Francia,1560.9
2013-01-09,España,1721.35
2013-01-10,Francia,1344.03
2013-01-10,España,946.02
2013-01-10,Francia,2209.07
2013-01-10,España,2303.66
2013-01-10,Francia,3721.71
2013-01-11,España,2117.73
2013-01-11,España,4734.12
2013-01-11,Italia,3769.7
2013-01-11,Italia,3683.59
2013-01-11,Italia,2108.21
2013-01-12,Francia,4663.66
2013-01-12,Italia,4459.7
2013-01-12,Francia,4344.54
2013-01-12,Francia,2569.97
2013-01-12,Italia,3157.33
2013-01-12,España,791.19
2013-01-12,Inglaterra,3475.45
2013-01-12,Francia,2052.86
2013-01-12,Francia,3969.59
2013-01-13,Francia,2319.69
2013-01-13,Francia,2396.79
2013-01-13,Francia,1741.74
2013-01-13,Francia,655.65
2013-01-13,Francia,2497.43
2013-01-14,Inglaterra,4285.91
2013-01-14,Francia,3372.88
2013-01-14,Italia,1338.99
2013-01-14,Francia,1034.88
2013-01-15,Italia,1832.83
2013-01-15,España,2430.95
2013-01-15,Inglaterra,4091.09
2013-01-15,España,3816.39
2013-01-15,Inglaterra,3187.03
2013-01-16,Italia,629.92
2013-01-16,Italia,3395.98
2013-01-17,Italia,2460.33
2013-01-17,Inglaterra,4433.91
2013-01-17,Francia,2837.54
2013-01-17,España,4111.82
2013-01-17,Francia,4744.79
2013-01-17,Francia,3038.46
2013-01-17,Italia,3336.61
2013-01-18,Francia,4646.27
2013-01-18,España,116.6
2013-01-19,Francia,340.36
2013-01-19,Italia,3113.18
2013-01-19,Inglaterra,3076.05
2013-01-19,Francia,3881.17
2013-01-19,Francia,629.99
2013-01-19,España,1174.9
2013-01-19,España,3196.76
2013-01-19,España,3178.85
2013-01-19,Francia,2595.3
2013-01-19,Inglaterra,2038.67
2013-01-20,España,4486.02
2013-01-20,Italia,1262.03
2013-01-21,España,3606.81
2013-01-21,Italia,2666.1
2013-01-21,Italia,1034.67
2013-01-21,Italia,4711.59
2013-01-21,Francia,2757.56
